Svid,ConstellationType,ConstellationName,UnixTimeMillis,AzimuthDegrees,ElevationDegrees
3,3,glonass,1740993595999.0,38.0,7.0
4,3,glonass,1740991884000.0,99.0,24.0
5,3,glonass,1740992811000.0,143.0,20.0
6,1,navstar,1740991823565.0,306.0,58.0
6,5,beidou,1740991925000.0,193.0,19.0
7,5,beidou,1740992005000.0,32.0,66.0
8,5,beidou,1740992003000.0,174.0,62.0
9,1,navstar,1740993108000.0,107.0,13.0
9,3,glonass,1740991823565.0,275.0,60.0
9,5,beidou,1740992382000.0,207.0,24.0
10,3,glonass,1740991900000.0,322.0,27.0
10,5,beidou,1740992021000.0,358.0,63.0
10,6,galileo,1740991826565.0,251.0,31.0
11,1,navstar,1740991826565.0,262.0,39.0
11,5,beidou,1740991898000.0,319.0,42.0
11,6,galileo,1740991827565.0,239.0,7.0
12,1,navstar,1740994260999.0,321.0,15.0
12,5,beidou,1740992042000.0,33.0,37.0
12,6,galileo,1740991826565.0,270.0,51.0
13,5,beidou,1740991831565.0,187.0,53.0
14,1,navstar,1740991938000.0,152.0,53.0
14,5,beidou,1740992131000.0,183.0,11.0
16,3,glonass,1740991830565.0,182.0,37.0
16,5,beidou,1740991925000.0,187.0,15.0
17,1,navstar,1740991843000.0,45.0,45.0
19,1,navstar,1740991823565.0,359.0,47.0
19,3,glonass,1740991977000.0,15.0,29.0
19,6,galileo,1740993247000.0,139.0,11.0
20,1,navstar,1740992022000.0,206.0,26.0
21,5,beidou,1740991945000.0,103.0,36.0
22,1,navstar,1740992003000.0,154.0,78.0
22,5,beidou,1740993621999.0,44.0,8.0
23,5,beidou,1740991898000.0,313.0,14.0
23,6,galileo,1740991826565.0,144.0,49.0
24,1,navstar,1740991882000.0,287.0,7.0
24,5,beidou,1740991925000.0,188.0,37.0
24,6,galileo,1740991826565.0,322.0,22.0
25,5,beidou,1740991832565.0,268.0,48.0
26,6,galileo,1740991827565.0,42.0,9.0
29,6,galileo,1740993141000.0,96.0,7.0
31,6,galileo,1740991826565.0,320.0,75.0
33,6,galileo,1740991826565.0,11.0,51.0
34,5,beidou,1740991831565.0,354.0,48.0
38,5,beidou,1740991910000.0,142.0,74.0
40,5,beidou,1740992000000.0,46.0,53.0
43,5,beidou,1740991898000.0,296.0,27.0
44,5,beidou,1740992569000.0,61.0,21.0
194,4,qzs,1740991943000.0,122.0,52.0
195,4,qzs,1740991990000.0,48.0,51.0
