Svid,ConstellationType,ConstellationName,UnixTimeMillis,AzimuthDegrees,ElevationDegrees
1,1,navstar,1740802309999.0,146.0,45.0
2,1,navstar,1740802309999.0,121.0,58.0
2,3,glonass,1740802584999.0,221.0,9.0
3,1,navstar,1740806144000.0,140.0,11.0
3,3,glonass,1740802309999.0,274.0,13.0
3,6,galileo,1740802469999.0,186.0,23.0
4,1,navstar,1740802523999.0,186.0,18.0
6,5,beidou,1740802410999.0,127.0,80.0
7,1,navstar,1740802390999.0,329.0,65.0
7,5,beidou,1740801870601.0,332.0,71.0
7,6,galileo,1740801870601.0,304.0,19.0
8,1,navstar,1740802309999.0,26.0,44.0
8,5,beidou,1740805054000.0,167.0,6.0
8,6,galileo,1740801870601.0,249.0,43.0
9,1,navstar,1740802575999.0,217.0,30.0
9,5,beidou,1740802435999.0,352.0,81.0
10,5,beidou,1740802849999.0,302.0,65.0
11,3,glonass,1740802332999.0,109.0,5.0
11,5,beidou,1740802342999.0,72.0,78.0
11,6,galileo,1740801870601.0,42.0,10.0
12,3,glonass,1740802309999.0,58.0,41.0
12,5,beidou,1740802309999.0,38.0,25.0
13,3,glonass,1740802653999.0,358.0,38.0
13,5,beidou,1740805553000.0,177.0,6.0
14,1,navstar,1740802742999.0,299.0,14.0
15,6,galileo,1740802539999.0,194.0,7.0
16,5,beidou,1740802342999.0,131.0,73.0
17,1,navstar,1740802586999.0,238.0,21.0
17,3,glonass,1740805867000.0,209.0,9.0
19,1,navstar,1740804924000.0,239.0,7.0
22,1,navstar,1740805381000.0,302.0,10.0
23,3,glonass,1740802410999.0,88.0,75.0
23,5,beidou,1740802735999.0,326.0,31.0
24,3,glonass,1740802532999.0,195.0,33.0
24,5,beidou,1740802309999.0,104.0,29.0
25,5,beidou,1740802309999.0,30.0,63.0
25,6,galileo,1740801870601.0,68.0,19.0
27,1,navstar,1740802409999.0,41.0,11.0
27,6,galileo,1740807525999.0,305.0,6.0
28,5,beidou,1740802575999.0,215.0,12.0
30,1,navstar,1740802715999.0,321.0,32.0
30,6,galileo,1740801870601.0,307.0,29.0
34,5,beidou,1740802309999.0,43.0,54.0
34,6,galileo,1740801870601.0,156.0,38.0
36,6,galileo,1740802309999.0,80.0,42.0
37,5,beidou,1740807378999.0,320.0,11.0
38,5,beidou,1740802382999.0,158.0,7.0
40,5,beidou,1740801858606.0,355.0,65.0
41,5,beidou,1740802979999.0,234.0,7.0
43,5,beidou,1740802348999.0,204.0,73.0
194,4,qzs,1740802309999.0,55.0,48.0
195,4,qzs,1740802309999.0,96.0,48.0
196,4,qzs,1740802394999.0,154.0,17.0
