Svid,ConstellationType,ConstellationName,UnixTimeMillis,AzimuthDegrees,ElevationDegrees
5,1,navstar,1741080562999.0,210.0,8.0
5,3,glonass,1741078379000.0,93.0,25.0
6,1,navstar,1741077893175.0,305.0,58.0
6,3,glonass,1741080340999.0,148.0,27.0
6,5,beidou,1741078400000.0,193.0,18.0
7,3,glonass,1741081913000.0,177.0,9.0
7,5,beidou,1741078516000.0,33.0,67.0
7,6,galileo,1741077906000.0,169.0,5.0
8,5,beidou,1741078311000.0,174.0,63.0
8,6,galileo,1741077906000.0,121.0,6.0
9,1,navstar,1741081120999.0,93.0,18.0
9,3,glonass,1741078303000.0,184.0,35.0
9,5,beidou,1741078967000.0,207.0,23.0
10,3,glonass,1741078518000.0,247.0,62.0
10,5,beidou,1741078565000.0,359.0,64.0
11,1,navstar,1741078305000.0,265.0,40.0
11,3,glonass,1741078365000.0,320.0,29.0
11,5,beidou,1741081577000.0,293.0,12.0
12,1,navstar,1741079749999.0,322.0,10.0
12,5,beidou,1741078386000.0,314.0,39.0
13,5,beidou,1741078310000.0,188.0,54.0
13,6,galileo,1741078491000.0,338.0,60.0
14,1,navstar,1741078342000.0,153.0,51.0
15,6,galileo,1741077906000.0,33.0,26.0
16,5,beidou,1741078421000.0,187.0,14.0
17,1,navstar,1741078484000.0,50.0,45.0
19,1,navstar,1741078303000.0,2.0,48.0
20,1,navstar,1741077896161.0,205.0,24.0
20,3,glonass,1741078565000.0,7.0,33.0
21,3,glonass,1741077893175.0,297.0,30.0
21,5,beidou,1741078545000.0,169.0,23.0
21,6,galileo,1741077905125.0,322.0,52.0
22,1,navstar,1741078374000.0,157.0,77.0
22,5,beidou,1741078443000.0,111.0,38.0
23,6,galileo,1741079759999.0,323.0,11.0
24,5,beidou,1741078303000.0,272.0,46.0
25,5,beidou,1741078384000.0,316.0,9.0
26,5,beidou,1741078306000.0,198.0,41.0
26,6,galileo,1741077905125.0,253.0,34.0
27,6,galileo,1741078374000.0,149.0,68.0
30,1,navstar,1741078310000.0,176.0,6.0
30,6,galileo,1741077906000.0,143.0,19.0
34,5,beidou,1741078368000.0,290.0,20.0
35,5,beidou,1741078505000.0,49.0,31.0
38,5,beidou,1741078377000.0,142.0,75.0
40,5,beidou,1741078517000.0,48.0,53.0
44,5,beidou,1741078305000.0,347.0,48.0
194,4,qzs,1741078442000.0,124.0,51.0
195,4,qzs,1741078511000.0,48.0,51.0
196,4,qzs,1741078516000.0,118.0,37.0
